Operating_Airline,total_passengers,avg_monthly_passengers,months_active,intl_ratio,lcc_ratio,terminal_diversity,region_diversity,enplane_ratio,growth_ratio,Cluster
ATA Airlines,425113,9661.65909090909,44,0.0023311448955924607,1.0,3,2,0.510413309524845,0.0,8
Aer Lingus,431904,4407.183673469388,98,0.9999999999999977,0.0,1,1,0.5001643883826024,1.2920808738688798,2
Aeromexico,983488,5463.822222222222,180,0.9999999999999989,0.0,1,1,0.506965006182078,33.76688197285996,2
Air Berlin,83547,2320.75,36,0.999999999999988,0.0,1,1,0.48073539444862795,0.0,2
Air Canada ,6680071,18251.560109289618,366,0.9999999999999999,0.0,3,1,0.5014767058613598,0.6403666687680439,1
Air Canada Jazz,4119,294.2142857142857,14,0.9999999999997571,0.0,2,1,0.4819130857002957,0.0,2
Air China,1714149,6618.335907335907,259,0.9999999999999994,0.003861003861003861,1,1,0.492026072412608,1.3848659131279695,2
Air France,2989982,11589.077519379845,258,0.9999999999999997,0.0,1,1,0.5011434851447265,1.348064302911317,2
Air India Limited,22676,2834.5,8,0.9999999999999559,0.0,1,1,0.4665284882695155,2834500000000.0,2
Air New Zealand,1930156,7452.339768339768,259,0.9999999999999996,0.007722007722007722,1,1,0.4956661534093615,1.3436013607008026,2
AirTran Airways,2388648,10569.238938053097,226,0.0,1.0,2,1,0.5032612590888232,0.645943318514788,8
Alaska Airlines,13191073,17564.67776298269,751,0.19533467823277148,0.0,2,3,0.5109182244917354,1.513727750595133,1
All Nippon Airways,1647465,6385.523255813953,258,0.9999999999999994,0.0,1,1,0.4931030401252831,1.1180648092960759,2
Allegiant Air,24269,1516.8125,16,0.0,1.0,1,1,0.49816638510031325,0.0,3
American Airlines,34588714,127164.38970588235,272,0.0,0.0,3,1,0.4985538346409757,0.8027585808082053,1
American Eagle Airlines,424692,4006.5283018867926,106,0.0,0.0,1,1,0.4837976698407305,0.0,4
Ameriflight,118,5.363636363636363,22,0.0,0.0,1,1,0.705882352934256,0.0,4
Asiana Airlines,1522964,5902.961240310077,258,0.9999999999999993,0.0,1,1,0.49065046842866905,1.6747155148483652,2
Atlantic Southeast Airlines,47892,2176.909090909091,22,0.0,0.0,1,1,0.5353921322976586,0.0,4
"Atlas Air, Inc",71,35.5,2,0.0,0.0,1,1,0.0,35500000000.0,7
BelAir Airlines,9416,428.0,22,0.9999999999998938,0.0,1,1,0.5441309255078393,0.0,2
Boeing Company,18,18.0,1,0.0,0.0,1,1,0.0,0.0,7
British Airways,4547282,17625.124031007752,258,0.9999999999999998,0.0,1,1,0.5005788072963144,1.026804660588049,2
"COPA Airlines, Inc.",47853,3418.0714285714284,14,0.9999999999999791,0.0,1,1,0.5189016362610387,3418071428571.428,0
Cathay Pacific,4417302,17121.325581395347,258,0.9999999999999998,0.0,1,1,0.49544993754106004,1.3422734538528667,2
China Airlines,2543239,9857.51550387597,258,0.9999999999999997,0.0,1,1,0.5030722633617994,0.9333963735652954,2
China Eastern,395885,5498.402777777777,72,0.9999999999999974,0.0,1,1,0.47402907409980055,5498402777777.777,0
China Southern,138286,4321.4375,32,0.9999999999999929,0.0,1,1,0.48485023791272813,4321437499999.9995,0
Compass Airlines,2055666,23359.840909090908,88,0.0,0.0,2,1,0.5000637333125751,23359840909090.906,6
Delta Air Lines,26446952,68515.41968911917,386,0.018839259813380384,0.04145077720207254,2,2,0.5000178180372105,1.4305629201978993,1
EVA Airways,3384020,13116.356589147286,258,0.9999999999999998,0.0,1,1,0.49648849593087496,1.2042848891246165,2
Emirates ,1632756,9070.866666666667,180,0.9999999999999994,0.011111111111111112,1,1,0.4931955540203187,7.178184002741381,2
Etihad Airways,220187,6476.088235294118,34,0.9999999999999956,0.0,1,1,0.4459845494965623,6476088235294.117,0
Evergreen International Airlines,4,2.0,2,0.99999999975,0.0,1,1,0.499999999875,0.0,2
ExpressJet Airlines,180219,5631.84375,32,0.0,0.0,1,1,0.5185690742929407,0.0,4
Frontier Airlines,4624796,17787.676923076924,260,0.0,1.0,1,1,0.49440105033822024,1.0809265860635036,3
Hawaiian Airlines,2136804,8282.186046511628,258,0.0,0.0,2,1,0.5001619240697788,1.4500457411874017,4
Horizon Air ,1204758,5577.583333333333,216,0.0,0.0,1,1,0.5087071428452847,1.1564110786148492,4
Icelandair,55994,2799.7,20,0.9999999999999822,0.0,1,1,0.47969425295566526,0.0,2
Independence Air,63913,6391.3,10,0.0,1.0,1,1,0.5093799383536917,0.0,3
Japan Airlines,1676100,6471.428571428572,259,0.9999999999999994,0.0,1,1,0.49913639369465906,0.7009801516076642,2
Jet Airways,68485,4280.3125,16,0.9999999999999853,0.0,1,1,0.4683799372125214,0.0,2
JetBlue Airways ,7827973,35261.13963963964,222,0.0,1.0,1,1,0.5014469262988004,2.4584572777496128,3
KLM Royal Dutch Airlines,2379228,9221.813953488372,258,0.9999999999999996,0.0,1,1,0.49134341055165776,0.9704762490685209,2
Korean Air Lines,1465043,5678.461240310077,258,0.9999999999999993,0.0,1,1,0.49328176715632205,1.4150838867176179,2
LAN Peru,250741,2786.011111111111,90,0.999999999999996,0.0,1,1,0.4989012566752127,2701966666666.6665,2
Lufthansa German Airlines,4979907,19301.96511627907,258,0.9999999999999998,0.0,1,1,0.4959038391680808,1.1513396250274777,2
Mesa Airlines,434138,3710.5811965811968,117,0.0,0.0,1,1,0.493202622207684,3.017765711115173,4
Mesaba Airlines,126048,2864.7272727272725,44,0.0,0.0,1,1,0.5032051282051242,0.0,4
Mexicana Airlines,991232,7993.806451612903,124,0.9999999999999989,0.0,1,1,0.5136184061854333,0.0,2
Miami Air International,1718,107.375,16,0.016298020954588884,0.0,1,2,0.426658905704059,1.6370808678339537,4
Midwest Airlines,450428,3883.0,116,0.0,0.0,2,1,0.5265036809434571,0.0,4
Northwest Airlines,6289321,26205.504166666666,240,0.11412042730844871,0.0,2,2,0.5003338875968886,0.0,1
Pacific Aviation,320,160.0,2,0.999999999996875,0.0,1,1,0.4999999999984375,0.0,2
Philippine Airlines,2644148,10248.635658914729,258,0.9999999999999997,0.0,1,1,0.48063724118317114,0.9481723817635017,2
Qantas Airways,668823,4991.2164179104475,134,0.9999999999999984,0.0,1,1,0.4771830514201807,0.9496476825674137,2
Republic Airlines,58860,2452.5,24,0.0,0.0,1,1,0.5050288820930937,54142857142.85714,4
SAS Airlines,422341,5865.847222222223,72,0.9999999999999977,0.0,1,1,0.49597600043566575,5865847222222.223,0
Servisair,3242,90.05555555555556,36,0.009870450339293686,1.0,1,2,0.5391733497839176,121250000000.0,3
Singapore Airlines,3804635,14746.647286821706,258,0.9999999999999998,0.0,1,1,0.5024765844818228,0.9001874310901944,2
SkyWest Airlines,35711773,37083.8764278297,963,0.07402107982709231,0.0010384215991692627,3,2,0.49906729449823745,1.0819493489657552,1
Southwest Airlines,25098015,81223.3495145631,309,0.0,1.0,1,1,0.4975500141229155,1.6713623767909855,3
Spirit Airlines,70105,2921.0416666666665,24,0.0,1.0,1,1,0.5302332215961696,0.0,3
Sun Country Airlines,998163,3992.652,250,0.008447518090732667,1.0,2,2,0.500045583737325,1.408248233116142,8
Swiss International,842568,6061.640287769784,139,0.9999999999999988,0.0,1,1,0.4935150634726212,6301506493506.493,0
Swissport USA,3972,264.8,15,0.5971802618326795,0.0,1,4,0.46724775488630027,286333333333.3333,2
TACA,1307079,5066.197674418605,258,0.9999999999999993,0.0,1,1,0.4996109646012211,1.1403034016251825,2
Turkish Airlines,195898,8162.416666666667,24,0.999999999999995,0.0,1,1,0.49413470275347127,8162416666666.666,0
US Airways,16816616,55317.81578947369,304,0.0,0.17763157894736842,1,1,0.5027295622377297,1.5700171407432861,4
United Airlines,64961880,72827.21973094171,892,0.14275933824575274,0.0,3,6,0.4990981772596022,1.3476584327919843,5
United Airlines - Pre 07/01/2013,106333323,49365.51671309192,2154,0.2311202857828491,0.039925719591457756,3,6,0.4988923028721309,1.2049069951422755,5
Virgin America,26934738,74405.35359116022,362,0.021688423329011036,0.9972375690607734,2,3,0.502223077128131,1.3433636375658753,8
Virgin Atlantic,2540553,9847.10465116279,258,0.9999999999999997,0.0,1,1,0.49958099673574985,1.1176294962250284,2
WestJet Airlines,549830,5338.155339805825,103,0.9999999999999981,0.0,1,1,0.5031482458214348,4.119947315829881,2
World Airways,785,261.6666666666667,3,0.6547770700628601,0.0,1,2,0.6751592356679298,0.0,2
XL Airways France,69444,2240.1290322580644,31,0.9999999999999856,0.0,1,1,0.48910691308924303,2564904761904.7617,2
Xtra Airways,146,73.0,2,0.0,0.0,1,1,0.4999999999965754,0.0,4
