Cluster,total_passengers,intl_ratio,lcc_ratio,terminal_diversity,region_diversity,enplane_ratio,growth_ratio
0,323288.28571428574,0.9999999999999938,0.0,1.0,1.0,0.4867701806331269,5720538617719.814
1,20484650.666666668,0.23371924086361548,0.0070815331335403004,2.5,1.8333333333333333,0.5017279608544013,0.9115608782225061
2,1466308.2285714287,0.9786273523326269,0.0006484035055463627,1.0285714285714285,1.1142857142857143,0.4993206233577719,239648707484.90826
3,5387473.285714285,0.0014100643341848124,1.0,1.0,1.1428571428571428,0.5100501265134326,17321428572.172962
4,1683264.3846153845,0.0012536939195837602,0.013663967611336033,1.1538461538461537,1.0769230769230769,0.5161414675129518,4164835165.514497
5,85647601.5,0.18693981201430093,0.019962859795728878,3.0,6.0,0.49899524006586654,1.27628271396713
6,2055666.0,0.0,0.0,2.0,1.0,0.5000637333125751,23359840909090.906
7,44.5,0.0,0.0,1.0,1.0,0.0,17750000000.0
8,7686665.5,0.008116771578834042,0.9993093922651933,2.25,2.0,0.503985807369781,0.8493887972992014
